gpu_model,arch,model,framework,gpus,max_length,batch_size,seq_len_batch,grad_accum,num_layers,hidden_size,heads,ff,task,fp16,bf16,power_correction,energy_consumed_kWh,duration_s,tokens_seen,tokens_per_sec_run,FLOPs,params_calc,M_proxy,flops_per_token_proxy,eta_h_proxy,n_runs,median_n_epochs,T1,speed_up,parallel_efficiency,strategy,memory,compute,log_energy_consumed_kWh,log_parallel_efficiency,log_FLOPs,log_params_calc,log_tokens_seen,log_speed_up,log_M_proxy,log_compute,log_memory,log_AI,log_energy,log_C,log_M,log_eta,log_duration,log_tokens,log_total_flops,device_seconds,log_device_seconds,log_gpus,log2_gpus,config_family_id,workload_family_id,exact_config_id
NVIDIA A100-SXM4-40GB,gpt,"CustomGPT(L=10,d=640,h=10,ff=2560)",Baseline,1,32,8,32,8,10,640,10,2560,WIKITEXT,True,False,1.0,0.003458,54.591,1356096.0,24841.0177501786,22496005324800.0,81920000.0,1638400.0,49766400.0,1.861504,1,3.0,54.591,1.0,1.0,Baseline,2221827686400.0,111091384320000.0,-5.667064891721038,0.0,30.744358868256636,18.221253719255472,14.120120541436703,0.0,14.309230713827326,32.34137426069218,28.429351255264027,16.435128154429307,-5.667064891721038,32.34137426069218,14.309230713827326,0.0,3.9998690339992153,14.120120541436703,30.744358868256633,54.591,3.9998690339992153,0.0,0.0,"NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|32|8|32|8|10|640|10|2560|WIKITEXT|True|False|1.0","gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|32|8|32|8|10|640|10|2560|WIKITEXT|True|False|1.0","NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|32|8|32|8|10|640|10|2560|WIKITEXT|True|False|1.0|Baseline|1"
NVIDIA A100-SXM4-40GB,gpt,"CustomGPT(L=10,d=640,h=10,ff=2560)",Baseline,1,64,8,64,8,10,640,10,2560,WIKITEXT,True,False,1.0,0.003834,55.413,1970304.0,35556.71051919225,33088497254400.0,81920000.0,3276800.0,50380800.0,1.356101,1,3.0,55.413,1.0,1.0,Baseline,6456292147200.0,161407303680000.0,-5.563846634358684,0.0,31.130206822941435,18.221253719255472,14.493698403529692,0.0,15.002377894387273,32.714952122785164,29.49607629791696,16.127828928554163,-5.5638466343586845,32.714952122785164,15.002377894387271,0.0,4.014814223265293,14.493698403529692,31.130206822941435,55.413,4.014814223265293,0.0,0.0,"NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|64|8|64|8|10|640|10|2560|WIKITEXT|True|False|1.0","gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|64|8|64|8|10|640|10|2560|WIKITEXT|True|False|1.0","NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|64|8|64|8|10|640|10|2560|WIKITEXT|True|False|1.0|Baseline|1"
NVIDIA A100-SXM4-40GB,gpt,"CustomGPT(L=10,d=640,h=10,ff=2560)",Baseline,1,96,8,96,8,10,640,10,2560,WIKITEXT,True,False,1.0,0.00434,57.666,2584512.0,44818.64530225784,43932568780800.0,81920000.0,4915200.0,50995200.0,1.207014,1,3.0,57.666,1.0,1.0,Baseline,12703393382400.0,211723223040000.0,-5.439880930869824,0.0,31.41367704661596,18.221253719255472,14.765047266671877,0.0,15.407843002495436,32.98630098592734,30.172890269167308,16.005834044120526,-5.4398809308698235,32.98630098592734,15.407843002495435,0.0,4.054667745069202,14.765047266671875,31.413677046615962,57.666,4.054667745069202,0.0,0.0,"NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|96|8|96|8|10|640|10|2560|WIKITEXT|True|False|1.0","gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|96|8|96|8|10|640|10|2560|WIKITEXT|True|False|1.0","NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|96|8|96|8|10|640|10|2560|WIKITEXT|True|False|1.0|Baseline|1"
NVIDIA A100-SXM4-40GB,gpt,"CustomGPT(L=10,d=640,h=10,ff=2560)",Baseline,1,128,8,128,8,10,640,10,2560,WIKITEXT,True,False,1.0,0.0049949999999999,62.273,3198720.0,51366.08160840171,55028219904000.0,81920000.0,6553600.0,51609600.0,1.136877,1,3.0,62.273,1.0,1.0,Baseline,20963131392000.0,262039142400000.0,-5.29931786688162,0.0,31.638867258739417,18.221253719255472,14.978261287748614,0.0,15.695525074947216,33.19951500700409,30.673786362695832,15.943342183792202,-5.2993178668816405,33.19951500700409,15.695525074947216,0.0,4.131527945016308,14.978261287748616,31.638867258739417,62.273,4.131527945016308,0.0,0.0,"NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|128|8|128|8|10|640|10|2560|WIKITEXT|True|False|1.0","gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|128|8|128|8|10|640|10|2560|WIKITEXT|True|False|1.0","NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|128|8|128|8|10|640|10|2560|WIKITEXT|True|False|1.0|Baseline|1"
NVIDIA A100-SXM4-40GB,gpt,"CustomGPT(L=10,d=640,h=10,ff=2560)",FSDP,2,32,8,32,8,10,640,10,2560,WIKITEXT,True,False,1.0,0.007164,80.011,1970496.0,24627.813675619604,32688164044800.0,81920000.0,1638400.0,49766400.0,2.308485,1,3.0,54.591,0.6822936846183649,0.3411468423091824,FSDP,3228460646400.0,161423032320000.0,-4.938686794783672,-1.075442271782353,31.118034172493424,18.221253719255472,14.493795845673496,-0.3822950912224078,14.309230713827326,32.71504956492897,28.80302655950082,16.808803458666098,-4.9386867947836715,32.71504956492897,14.309230713827326,-1.0754422717823533,4.382164125221623,14.493795845673496,31.118034172493424,160.022,5.075311305781568,0.6931471805599453,1.0,"NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|32|8|32|8|10|640|10|2560|WIKITEXT|True|False|1.0","gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|32|8|32|8|10|640|10|2560|WIKITEXT|True|False|1.0","NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|32|8|32|8|10|640|10|2560|WIKITEXT|True|False|1.0|FSDP|2"
NVIDIA A100-SXM4-40GB,gpt,"CustomGPT(L=10,d=640,h=10,ff=2560)",FSDP,2,64,8,64,8,10,640,10,2560,WIKITEXT,True,False,1.0,0.007945,80.014,3199104.0,39981.80318444272,53724472934400.0,81920000.0,3276800.0,50380800.0,1.879653,1,3.0,55.413,0.6925413052715774,0.3462706526357887,FSDP,10482823987200.0,262070599680000.0,-4.835212478993458,-1.0605345766578207,31.614889747974377,18.221253719255472,14.978381328562635,-0.3673873960978754,15.002377894387273,33.199635047818106,29.980759222949903,16.612511853587108,-4.835212478993458,33.199635047818106,15.002377894387271,-1.0605345766578207,4.382201619363168,14.978381328562635,31.614889747974377,160.028,5.0753487999231135,0.6931471805599453,1.0,"NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|64|8|64|8|10|640|10|2560|WIKITEXT|True|False|1.0","gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|64|8|64|8|10|640|10|2560|WIKITEXT|True|False|1.0","NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|64|8|64|8|10|640|10|2560|WIKITEXT|True|False|1.0|FSDP|2"
NVIDIA A100-SXM4-40GB,gpt,"CustomGPT(L=10,d=640,h=10,ff=2560)",FSDP,2,96,8,96,8,10,640,10,2560,WIKITEXT,True,False,1.0,0.008785,81.71000000000001,4427712.0,54188.12874801125,75264019660800.0,81920000.0,4915200.0,50995200.0,1.753379,1,3.0,57.666,0.7057398115285766,0.3528699057642883,FSDP,21763090022400.0,362718167040000.0,-4.734709557343076,-1.0416558288873592,31.95202330998911,18.221253719255472,15.303393530045025,-0.3485086483274139,15.407843002495436,33.52464724930049,30.711236532540457,16.544180307493676,-4.734709557343076,33.52464724930049,15.407843002495435,-1.0416558288873592,4.403176393396616,15.303393530045023,31.952023309989112,163.42000000000002,5.096323573956561,0.6931471805599453,1.0,"NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|96|8|96|8|10|640|10|2560|WIKITEXT|True|False|1.0","gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|96|8|96|8|10|640|10|2560|WIKITEXT|True|False|1.0","NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|96|8|96|8|10|640|10|2560|WIKITEXT|True|False|1.0|FSDP|2"
NVIDIA A100-SXM4-40GB,gpt,"CustomGPT(L=10,d=640,h=10,ff=2560)",FSDP,2,128,8,128,8,10,640,10,2560,WIKITEXT,True,False,1.0,0.009967,85.75999999999999,5656320.0,65955.22388059703,97306804224000.0,81920000.0,6553600.0,51609600.0,1.72596,1,3.0,62.273,0.726131063432836,0.363065531716418,FSDP,37069258752000.0,463365734400000.0,-4.608475642996818,-1.0131719328661286,32.2088900330352,18.221253719255472,15.548284062044402,-0.3200247523061834,15.695525074947216,33.769537781299874,31.24380913699162,16.51336495808799,-4.608475642996818,33.769537781299874,15.695525074947216,-1.0131719328661286,4.451552697322492,15.548284062044402,32.2088900330352,171.51999999999998,5.144699877882437,0.6931471805599453,1.0,"NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|128|8|128|8|10|640|10|2560|WIKITEXT|True|False|1.0","gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|128|8|128|8|10|640|10|2560|WIKITEXT|True|False|1.0","NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|128|8|128|8|10|640|10|2560|WIKITEXT|True|False|1.0|FSDP|2"
NVIDIA A100-SXM4-40GB,gpt,"CustomGPT(L=10,d=640,h=10,ff=2560)",FSDP,4,32,8,32,8,10,640,10,2560,WIKITEXT,True,False,1.0,0.012104,76.845,3199488.0,41635.60413820027,53075666534400.0,81920000.0,1638400.0,49766400.0,3.764501,1,3.0,54.591,0.7104040601210228,0.1776010150302557,FSDP,5242041139200.0,262102056960000.0,-4.4142193024960825,-1.7282157331799506,31.60273968178852,18.221253719255472,14.97850135496859,-0.3419213720600601,14.309230713827326,33.19975507422406,29.287732068795915,17.29350896796119,-4.4142193024960825,33.19975507422406,14.309230713827326,-1.7282157331799508,4.341790406059276,14.97850135496859,31.602739681788517,307.38,5.7280847671791655,1.3862943611198906,2.0,"NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|32|8|32|8|10|640|10|2560|WIKITEXT|True|False|1.0","gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|32|8|32|8|10|640|10|2560|WIKITEXT|True|False|1.0","NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|32|8|32|8|10|640|10|2560|WIKITEXT|True|False|1.0|FSDP|4"
NVIDIA A100-SXM4-40GB,gpt,"CustomGPT(L=10,d=640,h=10,ff=2560)",FSDP,4,64,8,64,8,10,640,10,2560,WIKITEXT,True,False,1.0,0.013832,78.118,5657088.0,72417.21498246244,95002873036800.0,81920000.0,3276800.0,50380800.0,3.344562,1,3.0,55.413,0.709349957756215,0.1773374894390537,FSDP,18537145958400.0,463428648960000.0,-4.280770530601147,-1.729700641896844,32.18492824956442,18.221253719255472,15.548419830152682,-0.3434062807769533,15.002377894387273,33.769673549408154,30.550797724539954,17.182550355177153,-4.280770530601147,33.769673549408154,15.002377894387271,-1.7297006418968441,4.3582205040422455,15.548419830152683,32.18492824956443,312.472,5.744514865162136,1.3862943611198906,2.0,"NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|64|8|64|8|10|640|10|2560|WIKITEXT|True|False|1.0","gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|64|8|64|8|10|640|10|2560|WIKITEXT|True|False|1.0","NVIDIA A100-SXM4-40GB|gpt|CustomGPT(L=10,d=640,h=10,ff=2560)|64|8|64|8|10|640|10|2560|WIKITEXT|True|False|1.0|FSDP|4"
