n_test,r2,rmse,calib_intercept,calib_slope,setting,model,kind,split,split_seed,n_train,n_train_groups,n_test_groups
37,-0.031670322593043254,1.01025435545911,-4.225532776906431,-0.03435336077785152,bert,tokens_only,linear,0,1829338324,94,47,21
39,0.006172993419318651,1.071347961806576,7.72411319800511,2.804505580753316,bert,tokens_only,linear,1,384259585,92,47,21
29,-0.10142202855463966,1.0096815915278559,-3.295928195839016,0.2657422483795857,bert,tokens_only,linear,2,56731231,102,47,21
45,0.005672757669314965,1.0051061842789246,3.8280795971945407,1.8856615226216544,bert,tokens_only,linear,3,1374203058,86,47,21
34,-0.6245852000630636,1.1401547624513952,-5.590027454488927,-0.23723182497019682,bert,tokens_only,linear,4,784857332,97,47,21
34,0.02244157801119029,1.0620531832727387,2.776676654212414,1.632590492089839,bert,tokens_only,linear,5,1003451250,97,47,21
39,-0.14994174037440922,1.0333574862280683,0.9589790033993933,1.3408733319355728,bert,tokens_only,linear,6,171429433,92,47,21
36,0.011050490278562752,1.0350677914168123,5.441643227814837,2.2487548999801175,bert,tokens_only,linear,7,795643823,95,47,21
47,-0.018744495425090824,1.0301108730435764,-4.027692609147208,0.025021322498351675,bert,tokens_only,linear,8,1381800716,84,47,21
44,-0.061110781563397776,1.0104352796276077,588.0372645740855,140.5958492728106,bert,tokens_only,linear,9,762179171,87,47,21
41,0.0010355659171390474,1.0359844939044465,7.411556928543343,2.7403748015793377,bert,tokens_only,linear,10,1784690067,90,47,21
35,0.001481342185884027,1.008425730681497,-1.539656944245853,0.6127363341580452,bert,tokens_only,linear,11,1697625005,96,47,21
41,0.010575193486805134,0.9615117753052406,8.895512902892436,3.084844227536999,bert,tokens_only,linear,12,1512746413,90,47,21
44,-0.09891231115456978,1.0726175172301609,1.610524723537467,1.2942361532318412,bert,tokens_only,linear,13,1943781587,87,47,21
42,0.032204623569112245,0.9981228229807002,5.831972553724197,2.406135872909648,bert,tokens_only,linear,14,1548783626,89,47,21
46,-0.09417259974021364,1.178045335880295,-3.0253564522689684,0.3236744641668828,bert,tokens_only,linear,15,380863078,85,47,21
34,-0.08518960463167868,1.070592945338158,-4.6578523747960645,-0.16418770251250236,bert,tokens_only,linear,16,1843517862,97,47,21
39,-0.0923342961588951,0.9196003455430295,-5.570907148068344,-0.3460219835569328,bert,tokens_only,linear,17,1401844688,92,47,21
