setting,model,R2_median,R2_q25,R2_q75,RMSE_median,RMSE_q25,RMSE_q75,calib_slope_median,calib_intercept_median,n_splits
bert,device_seconds_postrun,0.9420053162911921,0.9351804205470697,0.944568586260331,0.2488905184550923,0.2191632607384308,0.27135724227463476,1.0081890291626796,0.04853094292208964,20
bert,full_interpretable,0.9371085859289997,0.9253046476959628,0.9476692059900946,0.2532943357482739,0.22715063996025292,0.26962099674503026,1.0102611532040566,0.09342610659794853,20
bert,full_plus_hardware_gpu_count,0.9337325666210783,0.924505382024658,0.9459392721253022,0.2624140679627581,0.23273529444678667,0.26755860095709194,1.011065234777374,0.08582102339407227,20
bert,full_plus_hardware,0.9324794003606376,0.9241124376057712,0.947642665004595,0.2593564777728219,0.22925796927148617,0.2698959388266563,1.0096643704488049,0.08373945565476147,20
bert,random_forest_full_postrun,0.9262052790739117,0.9098496179122622,0.942260455273636,0.2710248580996859,0.23222358584826377,0.30264381521900124,1.1273334887453879,0.5728835291687364,20
bert,memory_efficiency,0.9207587251037765,0.9084930409201307,0.9317450022481615,0.2808462228650258,0.25659827063405566,0.3093052326015907,1.0149508359585109,0.04606882222144901,20
bert,hist_gradient_boosting_full_postrun,0.8935826171551361,0.8749170217861809,0.902597501539665,0.3323328788709256,0.3187548074026011,0.35337546277860826,0.9966313650205958,-0.07380200012533825,20
bert,compute_efficiency,0.891243478639583,0.8727956796937264,0.9096544812970104,0.324573057685947,0.3132968839043282,0.338722256593734,0.9985365210906616,0.05128229694592068,20
bert,random_forest_configuration_prerun,0.8786319580127281,0.8673476351828081,0.9055808560270292,0.34461521835031117,0.3063470231070773,0.3740186387388992,1.1186192791186327,0.5187969998593402,20
bert,configuration_only_prerun,0.8772578916267955,0.8642807934325061,0.8955579378162405,0.34647586089545557,0.327056703367517,0.36664116575317673,1.0070462637028514,0.04320702797217661,20
bert,hist_gradient_boosting_configuration_prerun,0.8530069940233133,0.831546637747639,0.8794724916355199,0.38392515505676106,0.34999238818561407,0.41077914962913376,0.9762368055884824,-0.08525504636489825,20
bert,runtime_only_postrun,0.7296123091094513,0.697178642265185,0.7368549346674067,0.5306244494390631,0.5212287588433892,0.5620669513705248,0.9901952474262791,-0.0478831378021262,20
bert,compute_only,0.3554590774719961,0.2885043898212435,0.40681440396941193,0.8139984867951765,0.776443133265694,0.8304442852683536,1.012978363144756,0.0610843901364167,20
bert,compute_memory,0.34660832246358775,0.28417506158847994,0.4073154790942395,0.8143474129952828,0.7752781211199886,0.8361439783606449,0.9987951339138578,-0.17169288664498897,20
bert,total_flops_only,0.3333091809583663,0.27704629973489026,0.39803723355468756,0.8135337039921533,0.7716051629957068,0.8337458216537996,0.9817365357561649,-0.07649245080763743,20
bert,tokens_only,-0.02810762662579569,-0.09279387205422474,0.0057978166068158865,1.020273076335592,1.0060258582782633,1.0641881237890936,1.3175547425837069,1.2156482814740084,20
gpt,hist_gradient_boosting_full_postrun,0.9820642537166289,0.9792518257563103,0.9848391801346388,0.1266238271234567,0.11714503402339055,0.14068423433020077,1.0014156889265033,-0.006784599984500365,20
gpt,hist_gradient_boosting_configuration_prerun,0.980155727272247,0.9779337203888533,0.9814900444263006,0.1335930667617433,0.12693594514145531,0.14420186349420827,1.0083530180369533,0.03570331335574393,20
gpt,random_forest_full_postrun,0.973944257153007,0.9704510508613909,0.9752304392378288,0.1575968328535356,0.14842410049302623,0.16455769142700005,1.0477442237649504,0.20733120933797833,20
gpt,full_plus_hardware_gpu_count,0.9707260556996572,0.9661973761209355,0.9727494188580845,0.1653777487977478,0.1582501001729123,0.17325791739964627,0.9839238964011416,-0.07290719965197882,20
gpt,full_plus_hardware,0.9650388515194646,0.9609434006148019,0.9680660577205181,0.1777581000148062,0.17124273901289888,0.18696725106250214,0.9805099920366164,-0.09186724743691196,20
gpt,random_forest_configuration_prerun,0.9575999726903786,0.9544300075029752,0.9614727608444863,0.19728743690083006,0.187198761318312,0.20195661746612348,1.0406852332692211,0.17806331530763106,20
gpt,configuration_only_prerun,0.9304345507594045,0.9229479916205264,0.9333169251766797,0.24993135554281962,0.2422209347537167,0.2597559071089658,0.9824741201032181,-0.0517808102399209,20
gpt,full_interpretable,0.926944715481121,0.9209409207272874,0.9316131534188039,0.25970805877712455,0.24843272138362332,0.26576445440159907,0.9845128448595268,-0.10616784992175515,20
gpt,memory_efficiency,0.9140253860053508,0.9032785669268973,0.9160416299510622,0.28346073349730405,0.273141481196058,0.29289103021293195,0.9785087167612587,-0.08379375662654509,20
gpt,compute_efficiency,0.9067979458249613,0.9004299400997112,0.9147115173034739,0.2900874889502518,0.2765965368528584,0.29709602213772324,0.9921282638280451,-0.04386693237035288,20
gpt,device_seconds_postrun,0.8939957169624384,0.8854079724464985,0.899887158959941,0.31325387945058036,0.3055591536534317,0.3166524246065142,1.004583667421597,-0.0028550600357667094,20
gpt,compute_memory,0.7402764395408828,0.7184500452324434,0.753489263131666,0.48728646934588915,0.47717140802978253,0.4957942725775098,0.9828614100499162,-0.046196054852081087,20
gpt,total_flops_only,0.6583761014765066,0.6419778257858988,0.6695171455918156,0.5575967431265629,0.5453033953614107,0.5641744980654511,0.953887688355736,-0.15777098949717477,20
gpt,compute_only,0.6557612166194096,0.6383715728844996,0.6686331423497044,0.5580225602151621,0.5451513148628298,0.5668511780564823,0.9552944165810368,-0.14812064056418753,20
gpt,runtime_only_postrun,0.6373892383884996,0.6160645149655823,0.6731910790699583,0.5687927213575793,0.5630066743050535,0.5755704991194412,1.0120790048453432,0.06670146599569843,20
gpt,tokens_only,0.25020457682593267,0.22645715238860936,0.3054026554367184,0.8035105865954254,0.7904611358082889,0.8584767758402928,1.088304645186076,0.31303747857373104,20
pooled,hist_gradient_boosting_full_postrun,0.9767831031252814,0.9735020376458299,0.9804042347313586,0.1408035645811169,0.13007380271387475,0.15032599914378392,1.0047023617315545,0.020022875203610485,20
pooled,hist_gradient_boosting_configuration_prerun,0.9711928017063822,0.9690593589298228,0.9721623103790814,0.15845898211300968,0.15232728077444016,0.16128850712334503,1.0063457070947255,0.018534044077608065,20
pooled,random_forest_full_postrun,0.9636280178073766,0.9590232396894813,0.9659671681646426,0.1763778969018932,0.16961374222292872,0.18624183459855492,1.0622951595504477,0.2836522454608684,20
pooled,full_plus_hardware_gpu_count,0.9549143183416142,0.9503350157508286,0.9597005488623418,0.20118127671621278,0.19313231942557219,0.2061857638650566,0.9974942214874842,-0.013993536896618067,20
pooled,full_plus_hardware,0.9541584175745649,0.949902166423699,0.9588708790185174,0.20274681750824408,0.19411359949080936,0.2071456204233523,0.9950669083275641,-0.024846408837771016,20
pooled,random_forest_configuration_prerun,0.9480135904917677,0.9456741568409172,0.9538371903735864,0.2097351219740986,0.19997734100916773,0.21644772498348094,1.0499248684383815,0.23115088659185726,20
pooled,full_interpretable,0.9223497585465232,0.9147355268918982,0.927274410341885,0.2581025135659103,0.24991914304754753,0.271299461681075,1.0062625712764102,0.010493297043004049,20
pooled,configuration_only_prerun,0.9176488927375402,0.9119044012667645,0.9209105237387867,0.26981527694391144,0.2631947497555278,0.27487488446526676,0.9979433921649605,-0.02716298589677975,20
pooled,memory_efficiency,0.8982637098481361,0.8861987589183286,0.9057802251444795,0.2986919904420211,0.2866836559123248,0.31651673626462334,0.9980600516885414,0.0049823328122998245,20
pooled,device_seconds_postrun,0.8777370467529788,0.8738889762632367,0.884820303761222,0.32552145460033133,0.3149633420770493,0.3342209686234454,0.9975678370341505,-0.00828725966097274,20
pooled,compute_efficiency,0.8105160068988264,0.8003958291533294,0.8248590898252164,0.4017008058895507,0.38870678743390485,0.410950410481967,1.0063220943685114,-0.012451486614370615,20
pooled,total_flops_only,0.6591947228845678,0.6461034004804884,0.670190762895396,0.5427923290866281,0.5366831116581036,0.5500394814962386,0.9951761889344608,-0.062192498486602396,20
pooled,compute_only,0.6404463057855321,0.6296574278587341,0.6495021624377073,0.558124459653971,0.5510039796773293,0.5648657439202129,0.9955645360958485,-0.03775647551054996,20
