n_test,r2,rmse,calib_intercept,calib_slope,coverage,q_log,multiplicative_half_width,median_interval_width_kwh,n_fit,n_cal,n_fit_groups,n_cal_groups,n_test_groups,setting,split
43,0.8288833070414119,0.37834774262091014,-0.266479656516114,0.9481440103785425,0.8372093023255814,0.5987921421689526,1.8199192685566454,0.02396571374728563,64,24,37,10,21,bert,0
46,0.8857035312899098,0.3333556234349901,-0.10416710998382021,0.9665857069797884,0.9565217391304348,0.5750619836572359,1.777240683377397,0.021850730413783513,74,11,37,10,21,bert,1
42,0.8282118043455302,0.39636623066431304,-0.0469414592857048,0.992772141257169,0.9523809523809523,0.7669099917306763,2.153102858476141,0.02721588023189632,63,26,37,10,21,bert,2
43,0.8471552481619471,0.3681152041218013,-0.17159991561512264,0.9735821762294499,1.0,0.7009052390829256,2.0155764604663298,0.020165129445143558,71,17,37,10,21,bert,3
45,0.8752475067914139,0.3582765278086807,0.14163764029518477,1.0505532065927061,0.9111111111111111,0.5973101119819662,1.8172240909233826,0.01946988029132214,68,18,37,10,21,bert,4
41,0.9081927599314574,0.29375548314801525,-0.1830603411777809,0.9701033064348336,0.975609756097561,0.6075699884787951,1.8359645587130666,0.020056281672004912,71,19,37,10,21,bert,5
44,0.9065226059097875,0.3068008306344004,0.08780005596499199,1.0280370399439418,1.0,1.2376356466280867,3.4474528245354654,0.052399277930388594,67,20,37,10,21,bert,6
38,0.6952128474326917,0.42513517451978283,-0.4800378940087192,0.8482170627615917,0.8947368421052632,0.6947212100704392,2.0031505378903214,0.021321940192382267,73,20,37,10,21,bert,7
52,0.82333718199586,0.45923037143057777,-0.13483676829960942,0.9336215639052966,0.8076923076923077,0.5065165778149066,1.6595003744446675,0.01569411856356963,57,22,37,10,21,bert,8
48,0.8916227500368549,0.3215188037116997,0.0676871381384965,1.0321605325075744,0.9791666666666666,0.6385403079139769,1.893714620608272,0.018673695456307114,72,11,37,10,21,bert,9
40,0.8312518782643767,0.3532429865827575,-0.3559884119906516,0.9181650160479967,0.975,0.7569247388449649,2.1317105634266724,0.02480588596720632,74,17,37,10,21,bert,10
38,0.861466070211042,0.36170132089578394,-0.19814853139548863,0.9318321678755728,0.9210526315789473,0.5711553770357609,1.7703112472591118,0.014077573415023133,74,19,37,10,21,bert,11
33,0.80124273214655,0.43625818968405894,-0.2298653319504498,0.9197026789088354,0.7272727272727273,0.5003808010572657,1.6493492250584008,0.011771449139864273,72,26,37,10,21,bert,12
41,0.8577694530730504,0.3787662949685663,0.2608900449202986,1.0684252254633573,0.975609756097561,0.7001769919643097,2.014109157061232,0.02254811681211419,73,17,37,10,21,bert,13
42,0.8772715022115624,0.4042417187630698,-0.0043090147204168094,0.9628546971771365,0.9523809523809523,0.7859977583441906,2.1945955247095905,0.023774143224628043,74,15,37,10,21,bert,14
