setting,feature,median,mean,std,count
bert,strategy,1.2394235595235692,1.2497046750916962,0.11437542800505908,20
bert,log_M,0.8257062204587136,0.821634966441698,0.3168994351051247,20
bert,log_C,0.7518071725339242,0.8029236116465507,0.305470731600457,20
bert,gpus,0.12531798487607748,0.12792473137066088,0.024263510925212603,20
gpt,log_M,0.7565760302524815,0.7258676009876319,0.13714014639135044,20
gpt,strategy,0.6635370607048808,0.6658760451284046,0.016446477831343138,20
gpt,log_C,0.6588527162665461,0.6177106002271736,0.14062840092870924,20
gpt,gpus,0.19351932288917523,0.19270447015034733,0.008751896604116472,20
pooled,log_M,1.2565412809461143,1.2786360221865105,0.2611066441412384,20
pooled,log_C,1.1791612791690147,1.184569318956876,0.18483079360309712,20
pooled,strategy,0.5382059017353525,0.5404286107418204,0.01990174058900175,20
pooled,gpus,0.1358596028747719,0.1358779909727938,0.0056505061419302284,20
pooled,arch,0.0007873099592146419,0.0010965956922048127,0.001433242847406449,20
