setting,split,feature,importance_r2_drop,importance_std
bert,0,log_C,0.7818686040696935,0.1329433409202693
bert,0,log_M,0.9493307014409957,0.1690366296335572
bert,0,gpus,0.14908439532614093,0.023510207218082748
bert,0,strategy,1.3364178010028038,0.16861797495303182
bert,1,log_C,0.6735444510306953,0.10850016081941477
bert,1,log_M,0.7497234286826623,0.13748970985270242
bert,1,gpus,0.10712401514005034,0.02169681141564407
bert,1,strategy,1.1193416235535978,0.17164340470067746
bert,2,log_C,0.7070415053044088,0.11808522333159611
bert,2,log_M,0.45507940613009734,0.09720196084546269
bert,2,gpus,0.1549525985302513,0.042868228363076
bert,2,strategy,1.1770270768515394,0.22103764510583387
bert,3,log_C,0.9596021279127681,0.1771384765871164
bert,3,log_M,0.9453718737885887,0.20129865845081377
bert,3,gpus,0.14970029662574977,0.025852863754261796
bert,3,strategy,1.3520795253161366,0.19881272805308764
bert,4,log_C,1.6594231700908852,0.3080214253441854
bert,4,log_M,1.6842439724196974,0.2877123295138919
bert,4,gpus,0.1657053608152364,0.041197961928098235
bert,4,strategy,1.4858716690264153,0.2844443990672494
bert,5,log_C,1.1471892937332475,0.15440596182161612
bert,5,log_M,0.8573060094567939,0.1492409120653051
bert,5,gpus,0.16661057970147217,0.03131100171563716
bert,5,strategy,1.2518313371136478,0.21998261984795275
bert,6,log_C,0.7998998359063244,0.18187585286848773
bert,6,log_M,0.9453503535389418,0.17399281997264782
bert,6,gpus,0.12487851978636541,0.03030562979122784
bert,6,strategy,1.238428923490043,0.17516910429263977
bert,7,log_C,0.6502815890473226,0.11416293330978182
bert,7,log_M,0.8151673920987133,0.17896241546120475
bert,7,gpus,0.07291585580423901,0.023537301440599498
bert,7,strategy,1.0004212618372519,0.18810185230769988
bert,8,log_C,0.7269171719186805,0.10539107022534985
bert,8,log_M,0.8362450488187139,0.1358385088109889
bert,8,gpus,0.09901058591628888,0.0235426706415498
bert,8,strategy,1.225081277953006,0.20776535774071753
bert,9,log_C,0.7766971731491678,0.10992885016614569
bert,9,log_M,0.7514165085507795,0.12124274715209106
bert,9,gpus,0.14130924182405172,0.02850592332314575
bert,9,strategy,1.3086593743162795,0.22226656837214764
bert,10,log_C,0.6559100997268712,0.11192367089477466
bert,10,log_M,0.6302185871073214,0.09927647569635202
bert,10,gpus,0.1299936472313893,0.03650904731879204
bert,10,strategy,1.2299170795254224,0.20864432200789695
bert,11,log_C,0.5904796372746017,0.12696598071378734
bert,11,log_M,0.5967108076421535,0.09146084125347495
bert,11,gpus,0.12453409867061377,0.03471755617760492
bert,11,strategy,1.2404181955570952,0.26251501472360783
bert,12,log_C,0.306028970438802,0.06332223672489216
bert,12,log_M,0.35051055387558877,0.0523700881824767
bert,12,gpus,0.10056008197400305,0.022274994475267484
bert,12,strategy,1.1414552027741252,0.1574277221133209
bert,13,log_C,0.7986511672365579,0.105962765222173
bert,13,log_M,0.9603448665060416,0.1539629905709428
bert,13,gpus,0.11061589116359541,0.024109913635093204
bert,13,strategy,1.2018593825604194,0.21463174650003503
bert,14,log_C,0.45373686382957756,0.05421585707601641
bert,14,log_M,0.23182318312954334,0.041369493872401526
bert,14,gpus,0.123957318435037,0.027069067778193675
bert,14,strategy,1.2417988483126894,0.19632157836157343
bert,15,log_C,1.220748816892463,0.16641126540480725
bert,15,log_M,1.2012827254373823,0.17089370116278083
bert,15,gpus,0.11357305876283605,0.018828720544508702
bert,15,strategy,1.3045898268373903,0.2507136010433147
bert,16,log_C,0.9257313620672971,0.15508635731187426
bert,16,log_M,1.1412647876562299,0.19126339669977796
bert,16,gpus,0.11360485284666912,0.03715099589919789
bert,16,strategy,1.1318897153418341,0.25745827257355275
bert,17,log_C,0.4514988156077236,0.08820189956673608
bert,17,log_M,0.651270011516204,0.10884635998057196
bert,17,gpus,0.15271982870502587,0.03242531790516001
bert,17,strategy,1.3737724234957824,0.2476790973800565
bert,18,log_C,0.6899361512711951,0.09706504869349125
bert,18,log_M,0.7431515017054624,0.13204289498174965
bert,18,gpus,0.12575744996578955,0.019624926279398238
bert,18,strategy,1.1934120648393542,0.21750405782451945
bert,19,log_C,1.0832854264227287,0.15768370182273517
bert,19,log_M,0.9368876093320471,0.14561384152285126
bert,19,gpus,0.13188695018841234,0.029994355914595604
bert,19,strategy,1.4398208921290907,0.20605634575739012
gpt,0,log_C,0.5013988407982072,0.04325925476205996
gpt,0,log_M,0.5963362965448639,0.0524939598685237
gpt,0,gpus,0.1990444202488052,0.021684595339261814
gpt,0,strategy,0.6646354304350759,0.0668712611695502
gpt,1,log_C,0.6625528817639234,0.046679729176770116
gpt,1,log_M,0.6659550505524858,0.0666093070609425
gpt,1,gpus,0.19046012788978864,0.02159334728478003
gpt,1,strategy,0.6624386909746858,0.0565343338842278
gpt,2,log_C,0.7229161079618792,0.04680743075579214
gpt,2,log_M,0.81343149182075,0.05531525878462138
gpt,2,gpus,0.17992803084460868,0.017171590664864823
gpt,2,strategy,0.6740941828577007,0.056190075245557455
gpt,3,log_C,0.9526624659519154,0.07387717236264414
gpt,3,log_M,1.0102248667517666,0.06736827098202577
gpt,3,gpus,0.18785982867147627,0.02010389819052069
gpt,3,strategy,0.6606856277289993,0.058161458279093255
gpt,4,log_C,0.6895810257171591,0.05026855979660112
gpt,4,log_M,0.831136821419152,0.0692578814259435
gpt,4,gpus,0.19450275563529915,0.02000598768850864
gpt,4,strategy,0.6488197531495569,0.06179260033883455
gpt,5,log_C,0.7088904511745137,0.05589822739755167
gpt,5,log_M,0.7534194164471829,0.06812495845808214
gpt,5,gpus,0.1913267346071693,0.015487916072808618
gpt,5,strategy,0.6346799328381211,0.05624061026175381
gpt,6,log_C,0.613821874071085,0.05777040403527266
gpt,6,log_M,0.7722443784635985,0.07113201385532787
gpt,6,gpus,0.20379838889542168,0.019803226026346956
gpt,6,strategy,0.6851006275216044,0.05624447089838778
gpt,7,log_C,0.3372680696147044,0.026245398726731744
gpt,7,log_M,0.42499745898149516,0.047268699166891144
gpt,7,gpus,0.19432896691938634,0.01557902081791615
gpt,7,strategy,0.6592220761712418,0.05836913379533951
gpt,8,log_C,0.4844473967872405,0.04294945317604331
gpt,8,log_M,0.5828920385994051,0.047542715659908245
gpt,8,gpus,0.19419870238698542,0.016841434781508943
gpt,8,strategy,0.6418408536472292,0.04643348604019226
gpt,9,log_C,0.4443884739443464,0.03888115550723136
gpt,9,log_M,0.601919733987719,0.056656749132747895
gpt,9,gpus,0.19878403519579108,0.020137009415156934
