setting,model,metric,n_splits,median,q25,q75,mean,std,p025,p975
bert,configuration_only_legacy_no_strategy,r2,20,0.6102364658363587,0.5876423829223391,0.6487053405809573,0.6168969799933226,0.05568817692764634,0.5267265210522567,0.7190225111901887
bert,configuration_only_legacy_no_strategy,rmse,20,0.6143579944963518,0.5817986242212057,0.6363996871168867,0.615538281353283,0.04583239580877261,0.5421251606370587,0.6951249943413226
bert,configuration_only_legacy_no_strategy,calib_slope,20,1.0972339017951849,0.9418793713451905,1.1667318461680465,1.0552078926829447,0.17020893153199634,0.7488708148253931,1.312847858379364
bert,configuration_only_legacy_no_strategy,calib_intercept,20,0.3303428950429729,-0.19654077314743978,0.6651203474910209,0.20348662382446508,0.6746082440364726,-1.0572560841355727,1.188597274229859
bert,configuration_only_matched_features,r2,20,0.879503164381118,0.8666370961384627,0.8966915992097821,0.8806657205870131,0.017874436279539264,0.8518172228285423,0.9052453063388372
bert,configuration_only_matched_features,rmse,20,0.34588787618006195,0.32023637366517593,0.36471735769467944,0.34355278942336515,0.025451631950155578,0.3071127331971079,0.38380019761946593
bert,configuration_only_matched_features,calib_slope,20,1.0088901763366234,0.9858917580133709,1.0430832575345563,1.0142109909568455,0.06644880669280549,0.9023860157917775,1.1354583148973858
bert,configuration_only_matched_features,calib_intercept,20,0.034318095137812636,-0.07426374896020004,0.2359805461612474,0.06092977678027518,0.30829828204207305,-0.4179338735041245,0.6294448601258387
bert,eta_predictor,r2,20,0.9384513917126627,0.9314642531457171,0.9451110817142804,0.9372213017300733,0.013962658265956098,0.9085367793069306,0.9595937647357732
bert,eta_predictor,rmse,20,0.2187833790260098,0.19590322431464977,0.24306062336653506,0.21916103486235464,0.02768240545310078,0.17594629284932417,0.26464536831866314
bert,eta_predictor,calib_slope,20,1.002954323071193,0.9546600339948543,1.0205037567427524,0.9957380943966878,0.04744709311259434,0.9228738134435217,1.0793662344416926
bert,eta_predictor,calib_intercept,20,-0.014049865678242589,-0.02792535781890042,0.019677078714259152,-0.0025521310108599336,0.03993005054603326,-0.0495915792312301,0.07869765406409486
