setting,proxy,split,n_test,r2,rmse,calib_intercept,calib_slope,alpha_C,alpha_M,alpha_eta
gpt,primary_M_proxy,0,173,0.9062698386121505,0.28008650772706206,-0.1280446715829235,0.9824087081082082,0.14774418527536423,0.34446458371429634,-0.9233661914253248
gpt,primary_M_proxy,1,168,0.9303682824357953,0.269777429307583,0.07553944810689464,1.0086030233681489,0.1049737842749218,0.4035120058225781,-0.9378355149063962
gpt,primary_M_proxy,2,175,0.9265381163142905,0.26065348884492756,-0.21402368156709997,0.9474912150567123,0.13844469485832928,0.376012220185922,-0.9290938071963185
gpt,primary_M_proxy,3,176,0.9452562331766485,0.2409498087668465,-0.02458600843523965,0.9866169816108491,0.12797589691976757,0.37312666741226974,-0.9605625283390844
gpt,primary_M_proxy,4,168,0.9359946997288902,0.2482326892413236,-0.1253244712543597,0.9712718173198418,0.10359649792606333,0.41784790424117585,-0.9415158334514039
gpt,primary_M_proxy,5,177,0.929085795664843,0.2543740862522641,-0.08701122858912079,0.9925203486229722,0.1398450573628901,0.35269711731555703,-0.9171638777346126
gpt,primary_M_proxy,6,172,0.9119933732152488,0.2754366239629727,-0.19858482972407543,0.9756696726429903,0.09714140140343512,0.4166171054483127,-0.9577026051683319
gpt,primary_M_proxy,7,166,0.9339484811642691,0.23151188017770938,0.1119392427504477,1.0164445542904628,0.11021589158326278,0.39116040822583087,-0.9415792214684793
gpt,primary_M_proxy,8,170,0.9210737916140723,0.26010374146796306,0.10555005103470047,1.0286149712813366,0.09863809315230498,0.4005639445623632,-0.9505616315280172
gpt,primary_M_proxy,9,172,0.9234552457220112,0.2519963217054198,0.06221195060475495,1.0056704778195782,0.08657099025031564,0.4288858954780832,-0.9612742020054447
gpt,primary_M_proxy,10,167,0.9336972915817254,0.24645630281488515,0.021534220368931087,0.9951343612976566,0.10940477387711878,0.39585020203777177,-0.9481863270563572
gpt,primary_M_proxy,11,164,0.9234719877200522,0.26442679609960507,0.09029141249810775,1.0237770766785044,0.10289308339464678,0.39686346607359263,-0.9450928791975355
gpt,primary_M_proxy,12,163,0.8939851196490547,0.29102009951297647,-0.4591242530942747,0.9004859447195013,0.1422454582596797,0.3691068822969391,-0.9645546893010515
gpt,primary_M_proxy,13,172,0.9292378716981553,0.24849939876438804,-0.26517595457878473,0.9463638981560861,0.1513270961945256,0.35182101342797745,-0.9389009750054816
gpt,primary_M_proxy,14,177,0.9268462044526097,0.2631779558624185,-0.17291156520243872,0.9681059759791909,0.11404025391769243,0.3927814515008058,-0.9659776511483428
gpt,primary_M_proxy,15,171,0.9205423080669334,0.25931237608628577,-0.274816283952446,0.940239705625607,0.12918227585598296,0.3793951647483869,-0.9722526101061972
gpt,primary_M_proxy,16,181,0.927043226509632,0.2622850731006217,0.07292060856882376,1.0184263284822215,0.07929823622826164,0.4244236402908198,-0.9998961101117853
gpt,primary_M_proxy,17,169,0.9160124181307135,0.2712235400505656,-0.2745492639963282,0.9376258978506012,0.11995792755295104,0.39977881077632194,-0.949438020055974
gpt,primary_M_proxy,18,175,0.9455876870556679,0.23151194239061712,0.10948123570173215,1.0199347213231724,0.10785222110922976,0.391808797624163,-0.9434711983268779
gpt,primary_M_proxy,19,174,0.93091844069783,0.2546028672517251,-0.15083537021957394,0.979292126553895,0.07289576190647518,0.4505529490848921,-0.9577739599789211
gpt,M1_activation,0,173,0.9062698386121505,0.28008650772706206,-0.1280446715829235,0.9824087081082082,0.14774418527536423,0.34446458371429634,-0.9233661914253248
gpt,M1_activation,1,168,0.9303682824357953,0.269777429307583,0.07553944810689464,1.0086030233681489,0.1049737842749218,0.4035120058225781,-0.9378355149063962
gpt,M1_activation,2,175,0.9265381163142905,0.26065348884492756,-0.21402368156709997,0.9474912150567123,0.13844469485832928,0.376012220185922,-0.9290938071963185
gpt,M1_activation,3,176,0.9452562331766485,0.2409498087668465,-0.02458600843523965,0.9866169816108491,0.12797589691976757,0.37312666741226974,-0.9605625283390844
gpt,M1_activation,4,168,0.9359946997288902,0.2482326892413236,-0.1253244712543597,0.9712718173198418,0.10359649792606333,0.41784790424117585,-0.9415158334514039
gpt,M1_activation,5,177,0.929085795664843,0.2543740862522641,-0.08701122858912079,0.9925203486229722,0.1398450573628901,0.35269711731555703,-0.9171638777346126
gpt,M1_activation,6,172,0.9119933732152488,0.2754366239629727,-0.19858482972407543,0.9756696726429903,0.09714140140343512,0.4166171054483127,-0.9577026051683319
gpt,M1_activation,7,166,0.9339484811642691,0.23151188017770938,0.1119392427504477,1.0164445542904628,0.11021589158326278,0.39116040822583087,-0.9415792214684793
gpt,M1_activation,8,170,0.9210737916140723,0.26010374146796306,0.10555005103470047,1.0286149712813366,0.09863809315230498,0.4005639445623632,-0.9505616315280172
gpt,M1_activation,9,172,0.9234552457220112,0.2519963217054198,0.06221195060475495,1.0056704778195782,0.08657099025031564,0.4288858954780832,-0.9612742020054447
gpt,M1_activation,10,167,0.9336972915817254,0.24645630281488515,0.021534220368931087,0.9951343612976566,0.10940477387711878,0.39585020203777177,-0.9481863270563572
gpt,M1_activation,11,164,0.9234719877200522,0.26442679609960507,0.09029141249810775,1.0237770766785044,0.10289308339464678,0.39686346607359263,-0.9450928791975355
gpt,M1_activation,12,163,0.8939851196490547,0.29102009951297647,-0.4591242530942747,0.9004859447195013,0.1422454582596797,0.3691068822969391,-0.9645546893010515
gpt,M1_activation,13,172,0.9292378716981553,0.24849939876438804,-0.26517595457878473,0.9463638981560861,0.1513270961945256,0.35182101342797745,-0.9389009750054816
gpt,M1_activation,14,177,0.9268462044526097,0.2631779558624185,-0.17291156520243872,0.9681059759791909,0.11404025391769243,0.3927814515008058,-0.9659776511483428
gpt,M1_activation,15,171,0.9205423080669334,0.25931237608628577,-0.274816283952446,0.940239705625607,0.12918227585598296,0.3793951647483869,-0.9722526101061972
gpt,M1_activation,16,181,0.927043226509632,0.2622850731006217,0.07292060856882376,1.0184263284822215,0.07929823622826164,0.4244236402908198,-0.9998961101117853
gpt,M1_activation,17,169,0.9160124181307135,0.2712235400505656,-0.2745492639963282,0.9376258978506012,0.11995792755295104,0.39977881077632194,-0.949438020055974
gpt,M1_activation,18,175,0.9455876870556679,0.23151194239061712,0.10948123570173215,1.0199347213231724,0.10785222110922976,0.391808797624163,-0.9434711983268779
gpt,M1_activation,19,174,0.93091844069783,0.2546028672517251,-0.15083537021957394,0.979292126553895,0.07289576190647518,0.4505529490848921,-0.9577739599789211
gpt,M2_activation_attention,0,173,0.905113099720849,0.2818095042462462,-0.10991942110140787,0.9855544550344997,0.22982248339232794,0.2424302544884703,-0.8741167566300934
gpt,M2_activation_attention,1,168,0.927275117563084,0.27570432058517536,0.09347993131749113,1.012709357666855,0.1862874386911485,0.3064741489342136,-0.8927017133732138
gpt,M2_activation_attention,2,175,0.9237712200241792,0.2655167947589236,-0.22497112807101013,0.9449451564898971,0.22095846662411012,0.2776936155450474,-0.8827057904767344
gpt,M2_activation_attention,3,176,0.9447251047350451,0.2421158445907113,-0.01569669816611714,0.9887991868060311,0.215484123052262,0.2652678699932657,-0.9085517702563192
gpt,M2_activation_attention,4,168,0.9332812738169807,0.25343983407931053,-0.1559762294580153,0.9644596097758104,0.19635147933269953,0.3082068150068419,-0.8913852091884136
gpt,M2_activation_attention,5,177,0.9263544591671531,0.2592265483850243,-0.09332600806069903,0.9910336347006298,0.21687617927129488,0.2601186981053288,-0.8739315009198181
gpt,M2_activation_attention,6,172,0.9085916335764345,0.28070941090858276,-0.2200610223933547,0.9705792888649718,0.18358530159887132,0.31486937149355326,-0.9127290647138633
gpt,M2_activation_attention,7,166,0.9322833262732395,0.23441191691962143,0.11330635407430664,1.0165566410881774,0.20110888261694887,0.28021915849864737,-0.8898557131614057
gpt,M2_activation_attention,8,170,0.9185407493180269,0.26424463886446514,0.08950206154626036,1.0253728072659904,0.18528674087884056,0.29719260483450816,-0.9024845794444123
gpt,M2_activation_attention,9,172,0.9220191419728487,0.2543492665963967,0.05070859472807709,1.00315787763316,0.1837064673675715,0.3119531357878903,-0.9073317862881191
gpt,M2_activation_attention,10,167,0.9315341348210969,0.25044441127965283,0.0174457393711243,0.9937345641176819,0.19934821078224865,0.286758931178414,-0.899103035750052
