setting,proxy,split,n_test,r2,rmse,calib_intercept,calib_slope,alpha_C,alpha_M,alpha_eta
pooled,primary_M_proxy,0,202,0.914962355040205,0.27090057033939613,-0.2104288493471612,0.9673512285458177,0.04667640245982484,0.48516548710337565,-0.9319909860757822
pooled,primary_M_proxy,1,192,0.9325649361213929,0.24266105471403748,0.06093392165536254,1.0062585170132314,0.09884931468760479,0.39895617903319625,-0.9031605234467828
pooled,primary_M_proxy,2,203,0.927148939943743,0.25831683814544654,0.1676100144521149,1.0351991935531872,0.08233623496964027,0.41656803832032074,-0.8895498555495747
pooled,primary_M_proxy,3,195,0.9186997923895759,0.2647236411207747,0.03333396508088966,1.0151480679808376,0.07990432824517318,0.4214324031986191,-0.9208926493822316
pooled,primary_M_proxy,4,202,0.9188011255858616,0.25788818898637433,0.05471821288566632,1.0141419575118313,0.09599042445444131,0.4092171062325656,-0.8733793686202741
pooled,primary_M_proxy,5,216,0.920062246864368,0.27075467473342,-0.3648737449455403,0.9217540986548036,0.10121391168930104,0.4243229588211668,-0.9096138756052617
pooled,primary_M_proxy,6,179,0.9003553421847512,0.27735934883005825,-0.18223062313453506,0.9714665772389841,0.08159626619028593,0.4308364749541891,-0.8985863257377638
pooled,primary_M_proxy,7,208,0.9140550424469777,0.26889949731756774,-0.0041021268146224955,1.0062666255395916,0.05162273278475647,0.4655986584629744,-0.9083068530234593
pooled,primary_M_proxy,8,209,0.9246372702286784,0.24705418063237494,0.02508872090062786,1.0130521132099384,0.08987895041680383,0.4137386279439224,-0.8911906422476301
pooled,primary_M_proxy,9,198,0.9136821491673179,0.2797912369222682,-0.04704179566426365,0.9681805035469627,0.08741588688558101,0.42569795958520906,-0.883918012997606
pooled,primary_M_proxy,10,194,0.9132773025383991,0.2724961357061123,0.11787590934978168,1.0241756479442488,0.09089452206784054,0.40070367325232664,-0.9125914495356949
pooled,primary_M_proxy,11,180,0.9270342770677871,0.2507826436944298,0.1284209451001827,1.0270134971348295,0.06896763996583533,0.4397497288364874,-0.9033408660220915
pooled,primary_M_proxy,12,189,0.8937140455984495,0.2786713229086202,-0.23256658100451785,0.9625725552537955,0.07849999484816472,0.43770112976079406,-0.8925765356023291
pooled,primary_M_proxy,13,207,0.9331700336339817,0.2306275690853392,-0.02543399450031719,1.003958328151313,0.07970355133414175,0.43003795080379026,-0.9132430138421599
pooled,primary_M_proxy,14,212,0.936882554462253,0.2473286411069008,-0.18881589946992616,0.9650704813200718,0.06283493438841614,0.4573514209372413,-0.9394889431212321
pooled,primary_M_proxy,15,210,0.9251629198929938,0.2509054167503961,0.1822087718852389,1.0438258709017185,0.10108781887751736,0.38746867041063154,-0.8900296696510817
pooled,primary_M_proxy,16,205,0.931959142573191,0.24675226144601883,-0.13831066835992595,0.9731002771610346,0.05391011878887761,0.474388361864187,-0.9137764710616826
pooled,primary_M_proxy,17,186,0.9254255473358607,0.25512736164710603,0.17564375657474976,1.0317949001932827,0.07687435948015109,0.42267071200330375,-0.8976987372385486
pooled,primary_M_proxy,18,182,0.9276508215363108,0.2510646385414619,0.11531626750218033,1.0197691768310118,0.0759517267494196,0.42784588766310244,-0.9123366306780716
pooled,primary_M_proxy,19,191,0.9169217102653693,0.27530983360517297,-0.027269800898460702,1.0001619508835844,0.04993768452145675,0.47037008644231837,-0.9142700976352867
pooled,M1_activation,0,202,0.914962355040205,0.27090057033939613,-0.2104288493471612,0.9673512285458177,0.04667640245982484,0.48516548710337565,-0.9319909860757822
pooled,M1_activation,1,192,0.9325649361213929,0.24266105471403748,0.06093392165536254,1.0062585170132314,0.09884931468760479,0.39895617903319625,-0.9031605234467828
pooled,M1_activation,2,203,0.927148939943743,0.25831683814544654,0.1676100144521149,1.0351991935531872,0.08233623496964027,0.41656803832032074,-0.8895498555495747
pooled,M1_activation,3,195,0.9186997923895759,0.2647236411207747,0.03333396508088966,1.0151480679808376,0.07990432824517318,0.4214324031986191,-0.9208926493822316
pooled,M1_activation,4,202,0.9188011255858616,0.25788818898637433,0.05471821288566632,1.0141419575118313,0.09599042445444131,0.4092171062325656,-0.8733793686202741
pooled,M1_activation,5,216,0.920062246864368,0.27075467473342,-0.3648737449455403,0.9217540986548036,0.10121391168930104,0.4243229588211668,-0.9096138756052617
pooled,M1_activation,6,179,0.9003553421847512,0.27735934883005825,-0.18223062313453506,0.9714665772389841,0.08159626619028593,0.4308364749541891,-0.8985863257377638
pooled,M1_activation,7,208,0.9140550424469777,0.26889949731756774,-0.0041021268146224955,1.0062666255395916,0.05162273278475647,0.4655986584629744,-0.9083068530234593
pooled,M1_activation,8,209,0.9246372702286784,0.24705418063237494,0.02508872090062786,1.0130521132099384,0.08987895041680383,0.4137386279439224,-0.8911906422476301
pooled,M1_activation,9,198,0.9136821491673179,0.2797912369222682,-0.04704179566426365,0.9681805035469627,0.08741588688558101,0.42569795958520906,-0.883918012997606
