setting,gpu_model,term,coef,cluster_se,pvalue,n,n_groups
bert,NVIDIA GeForce RTX 2080 Ti,log_C_c,0.05072923206228963,0.03716666223303477,0.17228063591557796,116,53
bert,NVIDIA GeForce RTX 2080 Ti,log_M_c,0.4089164620739171,0.04656715915646039,1.617111101023331e-18,116,53
bert,NVIDIA GeForce RTX 2080 Ti,log_eta_c,-1.111461793859565,0.08500338811100522,4.545656563813907e-39,116,53
bert,NVIDIA GeForce RTX 2080 Ti,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.271960740948038,0.10940468618356376,0.012925204885202978,116,53
bert,NVIDIA GeForce RTX 2080 Ti,"C(strategy, Treatment(reference=""Baseline""))[T.TP]",-0.5376533448405096,0.1957241088083059,0.006014386721129046,116,53
gpt,NVIDIA A100-SXM4-40GB,log_C_c,0.4162412970637299,0.04295332594753994,3.307469287770752e-22,304,76
gpt,NVIDIA A100-SXM4-40GB,log_M_c,-0.0463357198949641,0.05958971281312834,0.4368171402170421,304,76
gpt,NVIDIA A100-SXM4-40GB,log_eta_c,-0.5166791857560498,0.03196998193302423,9.441638410337074e-59,304,76
gpt,NVIDIA A100-SXM4-40GB,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.06509785572395799,0.02144475323457336,0.0024005155969522964,304,76
gpt,NVIDIA GeForce RTX 2080 Ti,log_C_c,0.21882855463917997,0.04163862175653451,1.476849388964425e-07,209,81
gpt,NVIDIA GeForce RTX 2080 Ti,log_M_c,0.26119792008157683,0.05311368901004766,8.756081330607894e-07,209,81
gpt,NVIDIA GeForce RTX 2080 Ti,log_eta_c,-0.8379465794119794,0.0324444754984937,4.4011189569128857e-147,209,81
gpt,NVIDIA GeForce RTX 2080 Ti,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.22916304090707992,0.04403074955194541,1.944006045880447e-07,209,81
gpt,Tesla T4,log_C_c,0.5550334720839455,0.08230037801540638,1.540881133450325e-11,49,21
gpt,Tesla T4,log_M_c,-0.3013939142333941,0.11107529466283753,0.006659266657463228,49,21
gpt,Tesla T4,log_eta_c,-0.5926319662172618,0.0760698400770117,6.667598181739757e-15,49,21
gpt,Tesla T4,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.34895325997230436,0.09282792522600698,0.00017049773274533414,49,21
pooled,NVIDIA A100-SXM4-40GB,log_C_c,0.4162412970637299,0.04295332594753994,3.307469287770752e-22,304,76
pooled,NVIDIA A100-SXM4-40GB,log_M_c,-0.0463357198949641,0.05958971281312834,0.4368171402170421,304,76
pooled,NVIDIA A100-SXM4-40GB,log_eta_c,-0.5166791857560498,0.03196998193302423,9.441638410337074e-59,304,76
pooled,NVIDIA A100-SXM4-40GB,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.06509785572395799,0.02144475323457336,0.0024005155969522964,304,76
pooled,NVIDIA GeForce RTX 2080 Ti,log_C_c,0.05388900698311515,0.0292809734424396,0.06570801307505376,287,134
pooled,NVIDIA GeForce RTX 2080 Ti,log_M_c,0.485115986832876,0.03735876245821754,1.4819140304027027e-38,287,134
pooled,NVIDIA GeForce RTX 2080 Ti,log_eta_c,-0.7734833645031651,0.04966835058872087,1.1113818056843845e-54,287,134
pooled,NVIDIA GeForce RTX 2080 Ti,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.014858357320994053,0.07910287589959238,0.851005317931989,287,134
pooled,Tesla T4,log_C_c,0.5550334720839455,0.08230037801540638,1.540881133450325e-11,49,21
pooled,Tesla T4,log_M_c,-0.3013939142333941,0.11107529466283753,0.006659266657463228,49,21
pooled,Tesla T4,log_eta_c,-0.5926319662172618,0.0760698400770117,6.667598181739757e-15,49,21
pooled,Tesla T4,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.34895325997230436,0.09282792522600698,0.00017049773274533414,49,21
