setting,gpu_model,split,n_test,r2,rmse,calib_intercept,calib_slope
bert,NVIDIA GeForce RTX 2080 Ti,0,37,0.941389863834482,0.22828312860923738,-0.10879439636807955,0.9912881982725357
bert,NVIDIA GeForce RTX 2080 Ti,1,31,0.936874392182496,0.25542275636467354,0.24231846767606535,1.061085854611173
bert,NVIDIA GeForce RTX 2080 Ti,2,32,0.942464218089601,0.2392539875782108,0.04519712354200023,1.0060251090342611
bert,NVIDIA GeForce RTX 2080 Ti,3,33,0.9214183848157533,0.28248003920050724,-0.009772514036458698,1.0032193316177136
bert,NVIDIA GeForce RTX 2080 Ti,4,37,0.9385354646210989,0.23380872232670627,-0.34746145324175726,0.9354115348579515
bert,NVIDIA GeForce RTX 2080 Ti,5,37,0.9258419033422363,0.268116723465641,-0.18743910142752865,0.9404360940974816
bert,NVIDIA GeForce RTX 2080 Ti,6,42,0.9343982648113538,0.25073794822378204,0.023632183190334867,0.9993823450888804
bert,NVIDIA GeForce RTX 2080 Ti,7,23,0.9203179242718924,0.2332911780061365,0.1147590057095834,0.9916339167888482
bert,NVIDIA GeForce RTX 2080 Ti,8,34,0.9410556569166303,0.25447894224253054,-0.013365539961267705,0.9808992727978638
bert,NVIDIA GeForce RTX 2080 Ti,9,33,0.9405283082452419,0.2569956559103933,0.2380770246725021,1.0485714818025318
bert,NVIDIA GeForce RTX 2080 Ti,10,49,0.9353612864881815,0.2526360333720484,-0.27007240286345835,0.936107863307909
bert,NVIDIA GeForce RTX 2080 Ti,11,33,0.8980984807105952,0.3283537124495394,-0.11357739823245673,0.9651991770654322
bert,NVIDIA GeForce RTX 2080 Ti,12,33,0.9253079503879266,0.2570764098947162,0.14012371976814086,1.0281929526463591
bert,NVIDIA GeForce RTX 2080 Ti,13,32,0.9004647479250574,0.31946116129445945,-0.0019249941871844825,0.9540701005451768
bert,NVIDIA GeForce RTX 2080 Ti,14,38,0.9466790057372683,0.22517343554365266,-0.13573231912763617,0.9657581764672637
