gpu_model,arch,strategy,gpus,n_pairs,throughput_gain_median,throughput_gain_ci_low,throughput_gain_ci_high,parallel_efficiency_median,parallel_efficiency_ci_low,parallel_efficiency_ci_high,energy_per_token_change_pct_median,energy_per_token_change_pct_ci_low,energy_per_token_change_pct_ci_high
NVIDIA A100-SXM4-40GB,gpt,FSDP,2,76,1.130731534484644,1.070514218073744,1.187129430830896,0.565365767242322,0.535257109036872,0.593564715415448,23.596257825988953,19.272007435858505,28.084782326737525
NVIDIA A100-SXM4-40GB,gpt,FSDP,4,76,2.006091090857697,1.8989226481609338,2.0928801242266477,0.5015227727144242,0.47473066204023345,0.5232200310566619,23.799422236314992,18.93409677454774,30.560255116307488
NVIDIA A100-SXM4-40GB,gpt,FSDP,6,76,2.7595236498362947,2.5112464406410355,2.8483554890454283,0.4599206083060491,0.4185410734401726,0.4747259148409047,25.844266913071245,19.631726406753394,35.56728610947915
NVIDIA GeForce RTX 2080 Ti,bert,FSDP,2,12,0.8894545656962238,0.7966843187093429,0.9665970238343926,0.4447272828481119,0.39834215935467143,0.4832985119171963,109.17119849648017,79.32385074035608,115.05369136923932
NVIDIA GeForce RTX 2080 Ti,bert,FSDP,4,13,1.5026245068286226,1.2768900095176619,1.5905885849717614,0.37565612670715565,0.31922250237941546,0.39764714624294034,121.91748729893237,92.61340488572498,125.45015341483409
NVIDIA GeForce RTX 2080 Ti,bert,TP,2,12,0.4252856336413132,0.4073320853263621,0.4375817202538601,0.2126428168206566,0.20366604266318106,0.21879086012693005,260.7291437974347,202.56297099592388,315.3567279759269
NVIDIA GeForce RTX 2080 Ti,bert,TP,4,13,0.43165536361687795,0.41486936798244106,0.4415535159256707,0.10791384090421949,0.10371734199561027,0.11038837898141768,621.5424898359042,490.00270874531526,706.8236887457007
NVIDIA GeForce RTX 2080 Ti,gpt,FSDP,2,64,0.7413632451537568,0.6895031830188562,0.7773120222195602,0.3706816225768784,0.3447515915094281,0.3886560111097801,96.28409203283005,84.36552375016852,117.72395530007663
NVIDIA GeForce RTX 2080 Ti,gpt,FSDP,4,64,1.204402254622753,1.0475918642648119,1.2677096000417671,0.30110056365568827,0.26189796606620297,0.3169274000104418,130.8738717935338,111.28785945966293,164.7511291580535
Tesla T4,gpt,FSDP,2,12,1.2012435218903077,1.1668718186962255,1.240589661436839,0.6006217609451538,0.5834359093481127,0.6202948307184195,11.178233131115935,7.0179548122883295,14.763703639959457
Tesla T4,gpt,FSDP,4,16,1.5794826954545322,1.5194357645299112,1.7159276872116167,0.39487067386363306,0.3798589411324778,0.4289819218029042,34.88675213911483,19.68702020856188,42.037996763360105
