setting,term,coef,cluster_se,pvalue,ci_low,ci_high
bert,Intercept,-3.943288145250495,0.13697805257903944,3.05458503019915e-182,-4.211760194977846,-3.674816095523144
bert,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.3782363056574944,0.11620146768564121,0.0011339055050685579,-0.6059869972720461,-0.1504856140429427
bert,"C(strategy, Treatment(reference=""Baseline""))[T.TP]",-0.6026689451470674,0.16167709990662538,0.0001933052865957202,-0.9195502380889373,-0.2857876522051975
bert,C(gpu_model)[T.Tesla V100-PCIE-16GB],0.022343549965289755,0.0898643491266046,0.8036420346374984,-0.15378733781698872,0.19847443774756823
bert,log_C_c,0.07283030546079189,0.045228791217082495,0.10734018078815304,-0.015816496388971313,0.1614771073105551
bert,log_M_c,0.3818599812550656,0.05815677174368826,5.1669201717106976e-11,0.2678748031803199,0.49584515932981127
bert,log_eta_c,-1.023695660656412,0.12216361431080121,5.3058268902648354e-17,-1.2631319449268243,-0.7842593763859997
bert,log2_gpus,0.08176194748745412,0.04299103885494912,0.05719247014504174,-0.002498940326208246,0.1660228353011165
bert,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]:log2_gpus",0.014836630135257977,0.027810827868038276,0.5936986226214133,-0.0396715908663399,0.06934485113685586
bert,"C(strategy, Treatment(reference=""Baseline""))[T.TP]:log2_gpus",0.06692531735219698,0.05281918477287798,0.20513220477307015,-0.036598382495410295,0.17044901719980426
gpt,Intercept,-4.31784984951259,0.06491935233826784,0.0,-4.445089441995261,-4.190610257029919
gpt,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.22867465747017274,0.03710553319875287,7.146151021657016e-10,-0.3014001661668837,-0.1559491487734618
gpt,C(gpu_model)[T.NVIDIA GeForce RTX 2080 Ti],0.29959586458267773,0.0263813713416352,6.897291952464162e-30,0.2478893268902956,0.3513024022750598
gpt,C(gpu_model)[T.Tesla T4],0.4489547372101049,0.04528493873911897,3.618734817292193e-23,0.3601978882393291,0.5377115861808808
gpt,log_C_c,0.2901977423299668,0.02954434346101028,9.012890127534285e-23,0.23229189319950522,0.3481035914604284
gpt,log_M_c,0.15481099148339023,0.03955436646393206,9.082528312029209e-05,0.07728585778278446,0.232336125183996
gpt,log_eta_c,-0.9561941367061301,0.05217838419002007,5.181854095952203e-75,-1.0584618904900636,-0.8539263829221966
gpt,log2_gpus,-0.10875024106593882,0.01512559518046913,6.487885819839983e-13,-0.13839586286439093,-0.07910461926748671
gpt,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]:log2_gpus",-0.10875024106593441,0.015125595180469223,6.487885819855972e-13,-0.1383958628643867,-0.0791046192674821
pooled,Intercept,-4.220449995593672,0.09111632160700742,0.0,-4.399034704347175,-4.041865286840169
pooled,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.08407529481683301,0.03030543187455459,0.005532661336736007,-0.14347284982689218,-0.02467773980677384
pooled,C(arch)[T.gpt],-0.4947051464760299,0.06316537168882659,4.805352377468012e-15,-0.6185070000562161,-0.37090329289584384
pooled,C(gpu_model)[T.NVIDIA GeForce RTX 2080 Ti],0.3585598253911158,0.024536582184414662,2.311343648186221e-48,0.31046900800595595,0.40665064277627566
pooled,C(gpu_model)[T.Tesla T4],0.4350196130020019,0.04517314594259306,5.970095075301142e-22,0.3464818738861479,0.523557352117856
pooled,C(gpu_model)[T.Tesla V100-PCIE-16GB],0.18496358518838474,0.09040031199485947,0.040751422390737375,0.0077822294872759434,0.36214494088949356
pooled,log_C_c,0.2058215296196381,0.02482303452696152,1.1177842612676368e-16,0.15716927595979927,0.25447378327947695
pooled,log_M_c,0.2576738210292063,0.03392741956619661,3.081380560237253e-14,0.19117730059108137,0.32417034146733115
pooled,log_eta_c,-0.7789681916791833,0.04063863168847028,6.826864515519245e-82,-0.8586184461695732,-0.6993179371887934
pooled,log2_gpus,-0.0333741201652908,0.009998470333933371,0.0008440725594090418,-0.052970761920292375,-0.013777478410289225
pooled,"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]:log2_gpus",-0.033374120165286646,0.009998470333933428,0.0008440725594103615,-0.05297076192028834,-0.013777478410284958
