gpu_model,arch,gpus,throughput_gain,matched_parallel_efficiency,energy_per_token_change_pct
NVIDIA GeForce RTX 2080 Ti,bert,2,0.41189486560398336,0.20594743280199168,193.09775093932814
NVIDIA GeForce RTX 2080 Ti,bert,4,0.40699411312691486,0.10174852828172871,490.00270874531526
NVIDIA GeForce RTX 2080 Ti,bert,2,0.40276930504874087,0.20138465252437043,164.2497169517504
NVIDIA GeForce RTX 2080 Ti,bert,4,0.43165536361687795,0.10791384090421949,371.0138474444894
NVIDIA GeForce RTX 2080 Ti,bert,2,0.38424546151090255,0.19212273075545128,212.02819105251965
NVIDIA GeForce RTX 2080 Ti,bert,4,0.395919674386462,0.0989799185966155,502.04255170723576
NVIDIA GeForce RTX 2080 Ti,bert,2,0.4808542169414815,0.24042710847074075,284.8650036590439
NVIDIA GeForce RTX 2080 Ti,bert,4,0.49379038590205,0.1234475964755125,641.5540922707103
NVIDIA GeForce RTX 2080 Ti,bert,2,0.48455066672933594,0.24227533336466797,275.52653786887043
NVIDIA GeForce RTX 2080 Ti,bert,4,0.4941554391505963,0.12353885978764907,631.4704573431959
NVIDIA GeForce RTX 2080 Ti,bert,4,0.4177657032242962,0.10444142580607405,405.5894899919985
NVIDIA GeForce RTX 2080 Ti,bert,2,0.42946476271900313,0.21473238135950157,318.30250416795974
NVIDIA GeForce RTX 2080 Ti,bert,4,0.4469715663866092,0.1117428915966523,706.8236887457007
NVIDIA GeForce RTX 2080 Ti,bert,2,0.43975519355120957,0.21987759677560478,316.2941921442505
NVIDIA GeForce RTX 2080 Ti,bert,4,0.4404152921706255,0.11010382304265638,729.6858700189066
NVIDIA GeForce RTX 2080 Ti,bert,2,0.4306218664526316,0.2153109332263158,314.4192638076034
NVIDIA GeForce RTX 2080 Ti,bert,4,0.4415535159256707,0.11038837898141768,708.0432957395566
NVIDIA GeForce RTX 2080 Ti,bert,2,0.3758083135566626,0.1879041567783313,366.74468367177127
NVIDIA GeForce RTX 2080 Ti,bert,4,0.41486936798244106,0.10371734199561027,749.7279678296198
NVIDIA GeForce RTX 2080 Ti,bert,2,0.4354082469565106,0.2177041234782553,245.9317497259989
NVIDIA GeForce RTX 2080 Ti,bert,4,0.4131129483163084,0.1032782370790771,621.5424898359042
NVIDIA GeForce RTX 2080 Ti,bert,2,0.42110650456362325,0.21055325228181163,226.9202778053502
NVIDIA GeForce RTX 2080 Ti,bert,4,0.43193060696274094,0.10798265174068523,532.847773965945
NVIDIA GeForce RTX 2080 Ti,bert,2,0.41691781224946145,0.20845890612473073,185.9664355728355
NVIDIA GeForce RTX 2080 Ti,bert,4,0.4243331969507916,0.1060832992376979,460.30752197961766
